#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D361
#Date Time: 2023-05-05 13:37:05.310
#Sample rate: 1600Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 100 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 1.8 V
#Offset: 0 V
#Symmetry: 10 %
#Phase: 90 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 1.8 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 180 °

Time (s),Channel 1 (V)
4.350446428571429,-0.002922598565950574
4.351071428571428,-0.003259573077211132
4.351696428571429,-0.002922598565950421
4.352321428571429,-0.002922598565950421
4.352946428571428,-0.002922598565950421
4.353571428571429,-0.003259573077211285
4.354196428571429,-0.003259573077210978
4.354821428571428,-0.002922598565950421
4.355446428571428,-0.006629318189816553
4.356071428571429,-0.003933522099733014
4.356696428571428,-0.003933522099733014
4.357321428571428,-0.003596547588472456
4.357946428571428,-0.002922598565950728
4.358571428571429,-0.002922598565950421
4.359196428571428,-0.002585624054689864
4.359821428571428,-0.002585624054689557
4.360446428571429,-0.002585624054689557
4.361071428571428,-0.002585624054689557
4.361696428571428,-0.002585624054689557
4.362321428571429,-0.002585624054689557
4.362946428571428,-0.002585624054689557
4.363571428571428,0.0004471465466582179
4.364196428571429,0.0007841210579170898
4.364821428571428,-0.003596547588470157
4.365446428571429,-0.002922598565950421
4.366071428571429,-0.002585624054689711
4.366696428571428,-0.002922598565950268
4.367321428571429,-0.002922598565950421
4.367946428571429,-0.003259573077210978
4.368571428571428,-0.002922598565950421
4.369196428571429,-0.002922598565950421
4.369821428571429,-0.002922598565950728
4.370446428571428,-0.003259573077211285
4.371071428571428,-0.003259573077211285
4.371696428571429,-0.00359654758847552
4.372321428571428,-0.007303267212341653
4.372946428571428,-0.00359654758847552
4.373571428571428,-0.004270496610993571
4.374196428571429,-0.003259573077211285
4.374821428571428,-0.003259573077211285
4.375446428571428,-0.002922598565950421
4.376071428571429,-0.002585624054689557
4.376696428571428,-0.002585624054689557
4.377321428571428,-0.002922598565950421
4.377946428571429,-0.002922598565950268
4.378571428571428,-0.002585624054689711
4.379196428571428,-0.002585624054689557
4.379821428571429,-0.002248649543426548
4.380446428571428,0.002468993614221256
4.381071428571429,-0.001911675032167829
4.381696428571429,-0.003596547588471689
4.382321428571428,-0.002585624054690017
4.382946428571429,-0.002585624054689557
4.383571428571429,-0.002922598565950728
4.384196428571428,-0.003259573077211285
4.384821428571429,-0.002922598565950574
4.385446428571429,-0.003259573077211285
4.386071428571428,-0.003259573077211285
4.386696428571428,-0.003259573077211285
4.387321428571429,-0.003259573077211285
4.387946428571428,-0.003259573077211285
4.388571428571428,-0.004944445633514072
4.389196428571428,-0.005618394656037026
4.389821428571429,-0.003933522099733014
4.390446428571428,-0.003933522099733014
4.391071428571428,-0.003259573077211285
4.391696428571429,-0.002922598565950421
4.392321428571428,-0.002922598565950421
4.392946428571428,-0.002585624054689557
4.393571428571429,-0.002922598565950421
4.394196428571428,-0.002922598565950421
4.394821428571428,-0.002585624054689557
4.395446428571429,-0.002585624054689557
4.396071428571428,-0.002585624054689557
4.396696428571429,-0.001237726009646102
4.397321428571429,0.002468993614220796
4.397946428571428,-0.00325957307720868
4.398571428571429,-0.002585624054689557
4.399196428571429,-0.002585624054689557
4.399821428571428,-0.002585624054689557
4.400446428571429,-0.002585624054689711
4.401071428571429,-0.002922598565950421
4.401696428571428,-0.002922598565950421
4.402321428571428,-0.002922598565950421
4.402946428571429,-0.002922598565950728
4.403571428571428,-0.003259573077211285
4.404196428571428,-0.003259573077211285
4.404821428571428,-0.003259573077211285
4.405446428571429,-0.006629318189819924
4.406071428571428,-0.003933522099735465
4.406696428571428,-0.004270496610993877
4.407321428571429,-0.003596547588471996
4.407946428571428,-0.003259573077211438
4.408571428571428,-0.002922598565950421
4.409196428571429,-0.002585624054689557
4.409821428571428,-0.002585624054689557
4.410446428571428,-0.002585624054689557
4.411071428571429,-0.002585624054689557
4.411696428571428,-0.002585624054689557
4.412321428571429,-0.002248649543428694
4.412946428571429,-0.002585624054688025
4.413571428571428,0.0007841210579175497
4.414196428571429,0.0004471465466582179
4.414821428571429,-0.003596547588471536
4.415446428571428,-0.002922598565950421
4.416071428571429,-0.002585624054689711
4.416696428571429,-0.002922598565950421
4.417321428571428,-0.002922598565950421
4.417946428571428,-0.003259573077210978
4.418571428571429,-0.002922598565950421
4.419196428571428,-0.002922598565950421
4.419821428571428,-0.002922598565950421
4.420446428571428,-0.003259573077211132
4.421071428571429,-0.002922598565950421
4.421696428571428,-0.003259573077210978
4.422321428571428,-0.007303267212341653
4.422946428571429,-0.003596547588472149
4.423571428571428,-0.003596547588472149
4.424196428571428,-0.003596547588472149
4.424821428571429,-0.002922598565950421
4.425446428571428,-0.002922598565950421
4.426071428571428,-0.002585624054689557
4.426696428571429,-0.002922598565950421
4.427321428571428,-0.002922598565950421
4.427946428571429,-0.002585624054689557
4.428571428571429,-0.002585624054689557
4.429196428571428,-0.002585624054689557
4.429821428571429,-0.002248649543428694
4.430446428571429,0.002468993614219417
4.431071428571428,-0.001911675032167829
4.431696428571429,-0.003259573077210978
4.432321428571429,-0.002585624054689557
