#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D361
#Date Time: 2023-05-05 14:17:05.468
#Sample rate: 1600Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 100 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 1.8 V
#Offset: 0 V
#Symmetry: 10 %
#Phase: 90 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 1.8 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 180 °

Time (s),Channel 1 (V),Channel 2 (V)
2.311342995169082,-0.003933522099733014,-0.001069623956110047
2.311967995169081,-0.003596547588472302,-0.0003972061823268782
2.312592995169082,-0.003596547588472149,-0.0003972061823265725
2.313217995169082,-0.003596547588472149,-0.0003972061823265725
2.313842995169082,-0.003933522099733014,-0.0007334150692183095
2.314467995169082,-0.003933522099733014,-0.001069623956109894
2.315092995169082,-0.003933522099733014,-0.0007334150692183095
2.315717995169082,-0.008651165257385109,-0.008466219467728263
2.316342995169081,-0.005618394656038712,-0.003086877277462916
2.316967995169082,-0.004944445633515451,-0.002078250616784799
2.317592995169082,-0.004607471122254741,-0.001069623956110047
2.318217995169082,-0.004270496610993877,-0.0003972061823265725
2.318842995169081,-0.004607471122254588,-0.0007334150692181567
2.319467995169082,-0.004607471122254741,-0.0003972061823265725
2.320092995169082,-0.004270496610993877,-6.099729543483537e-05
2.320717995169082,-0.004270496610993877,-0.0003972061823265725
2.321342995169082,-0.003259573077212358,0.0009476293652388469
2.321967995169082,-0.005618394656037333,-0.002414459503676995
2.322592995169082,-0.003933522099733014,0.0006114204783486388
2.323217995169081,-0.001237726009647328,0.004309718234156065
2.323842995169082,0.002132019102962538,0.009689060424425539
2.324467995169082,0.00583873872683204,0.01506840261469333
2.325092995169082,-0.002922598565950421,0.00162004713902385
2.325717995169082,-0.003259573077211285,0.0009476293652403759
2.326342995169082,-0.003259573077211285,0.0009476293652403759
2.326967995169082,-0.003259573077211285,0.0006114204783486388
2.327592995169081,-0.003596547588471996,-6.099729543452962e-05
2.328217995169082,-0.003933522099733014,-0.001069623956110047
2.328842995169082,-0.003596547588472149,-6.099729543483537e-05
2.329467995169082,-0.003596547588472149,-0.0003972061823265725
2.330092995169082,-0.003596547588472302,-0.0003972061823268783
2.330717995169082,-0.003933522099733014,-0.001069623956110047
2.331342995169082,-0.003933522099733014,-0.0007334150692183095
2.331967995169081,-0.004270496610993724,-0.001405832843001478
2.332592995169082,-0.009662088791165249,-0.01014726390218282
2.333217995169082,-0.004270496610993877,-0.001069623956110047
2.333842995169082,-0.004944445633515605,-0.001742041729893521
2.334467995169081,-0.004270496610994184,-0.0007334150692187682
2.335092995169082,-0.003596547588472149,0.0006114204783486388
2.335717995169082,-0.005281420144776469,-0.002078250616785258
2.336342995169082,-0.004270496610993877,0.0002752115914569017
2.336967995169082,-0.004607471122254281,-0.0007334150692176979
2.337592995169082,-0.003596547588472149,0.0006114204783486388
2.338217995169082,-0.003259573077211285,0.0009476293652403759
2.338842995169081,-0.006966292701079102,-0.004095503938133387
2.339467995169082,-0.001574700520906966,0.004309718234157747
2.340092995169082,-0.001237726009646102,0.004645927121049484
2.340717995169082,0.004153866170527721,0.01338735818023465
2.341342995169082,0.003142942636742217,0.0110338959719879
2.341967995169082,-0.003259573077211285,0.0009476293652403759
2.342592995169082,-0.002922598565950421,0.001283838252132113
2.343217995169081,-0.003259573077211132,0.0006114204783489445
2.343842995169082,-0.003596547588472149,0.0002752115914569017
2.344467995169082,-0.003596547588472149,-0.0003972061823265725
2.345092995169082,-0.003596547588472149,-0.0003972061823265725
2.345717995169082,-0.003596547588472149,-6.099729543498826e-05
2.346342995169082,-0.003596547588472149,-0.0003972061823265725
2.346967995169082,-0.003596547588472149,-0.0003972061823265725
2.347592995169081,-0.00393352209973286,-0.001069623956109741
2.348217995169082,-0.003933522099734393,-0.0007334150692206028
2.348842995169082,-0.006966292701080788,-0.005776548372594366
2.349467995169082,-0.007303267212341653,-0.006112757259486103
2.350092995169081,-0.003933522099734545,-0.0007334150692207553
2.350717995169082,-0.004607471122254741,-0.001405832843001784
2.351342995169082,-0.003933522099733014,-0.0003972061823265725
2.351967995169082,-0.004607471122254741,-0.0007334150692183095
2.352592995169082,-0.004944445633514992,-0.001405832843000713
2.353217995169082,-0.003596547588472149,0.0009476293652403759
2.353842995169082,-0.004607471122254741,-0.0007334150692183095
2.354467995169081,-0.003259573077211898,0.0009476293652396115
2.355092995169082,-0.004270496610993877,-0.0003972061823265725
2.355717995169082,-0.005955369167298196,-0.002414459503676995
2.356342995169082,-0.0009007514983852378,0.00498213600794122
2.356967995169082,-0.0005637769871210027,0.005318344894838462
2.357592995169082,0.006849662260614633,0.01742186482293549
2.358217995169082,-0.0005637769871243739,0.00498213600794122
2.358842995169081,-0.003259573077210059,0.0009476293652422108
2.359467995169082,-0.002922598565950421,0.0009476293652403759
2.360092995169082,-0.003596547588472149,-6.099729543483537e-05
2.360717995169082,-0.004270496610993877,-0.001069623956110047
2.361342995169082,-0.004270496610993877,-0.002078250616784799
2.361967995169082,-0.004270496610993877,-0.001069623956110047
